what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349691849521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349691893159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349691897333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349691929125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349691948666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349691953636
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349691974304
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349691985640
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349691991790
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1349691995833
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1349691995885
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1349691995890
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349691996822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692000455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1349692000483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692004735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692006302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692006417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692038509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692050014
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349692050227
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349692050305
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349692054376
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349692073903
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349692079273
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349692079428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692116140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692221837
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1349692227874
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1349692227970
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1349692227979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692228298
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1349692228411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692228950
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349692240651
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349692240870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692244883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692301885
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349692301908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692354111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692356881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349692357061
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1349692388656
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1349692388753
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1349692388772
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1349692388837
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1349692389666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692393805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692710960
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349692731255
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1349692733859
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1349692736320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692739331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349692740942
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1349692741176
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1349692741710
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1349692741768
